2024-10-23 15:22:26 [INFO] Window initialized: Test Window
2024-10-23 15:24:24 [INFO] Window initialized: Test Window
2024-10-23 15:25:01 [INFO] Window initialized: Test Window
2024-10-23 19:39:41 [INFO] Window initialized: Test Window
2024-10-23 19:41:30 [INFO] Window initialized: Test Window
2024-10-23 19:48:53 [INFO] Window initialized: Test Window
2024-10-23 20:00:46 [INFO] Application started
2024-10-23 20:00:47 [INFO] Window initialized: OpenGL Triangle
2024-10-23 20:00:47 [INFO] Triangle constructor called
2024-10-23 20:00:47 [INFO] Creating triangle
2024-10-23 20:00:47 [INFO] Shader compiled successfully
2024-10-23 20:00:47 [INFO] Shader compiled successfully
2024-10-23 20:00:47 [INFO] Shader program linked successfully
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
2024-10-23 20:00:47 [INFO] Drawing triangle
